datetime,date,time,co2,ch4,n20,filename
8/6/2019 11:47,8/6/2019,11:47:54,432.2,2.03,0.323,hr 08062019 w4.txt
8/6/2019 11:48,8/6/2019,11:48:19,428.5,2.14,0.324,hr 08062019 w4.txt
8/6/2019 11:48,8/6/2019,11:48:44,433.8,1.97,0.31,hr 08062019 w4.txt
8/6/2019 11:49,8/6/2019,11:49:09,438.6,2.14,0.323,hr 08062019 w4.txt
8/15/2019 11:33,8/15/2019,11:33:10,192.2,0.64,0.133,hr k1 08152019.txt
8/15/2019 11:33,8/15/2019,11:33:34,407.1,1.47,0.287,hr k1 08152019.txt
8/15/2019 11:33,8/15/2019,11:33:58,473.4,1.81,0.284,hr k1 08152019.txt
8/15/2019 11:34,8/15/2019,11:34:23,505.2,1.81,0.328,hr k1 08152019.txt
8/15/2019 11:34,8/15/2019,11:34:47,526.9,1.9,0.343,hr k1 08152019.txt
8/15/2019 11:35,8/15/2019,11:35:11,542.9,1.9,0.336,hr k1 08152019.txt
8/15/2019 11:35,8/15/2019,11:35:36,561.1,1.89,0.37,hr k1 08152019.txt
8/15/2019 11:36,8/15/2019,11:36:00,581,1.81,0.363,hr k1 08152019.txt
8/15/2019 11:36,8/15/2019,11:36:24,599.6,1.81,0.338,hr k1 08152019.txt
8/15/2019 11:36,8/15/2019,11:36:48,620.9,1.88,0.34,hr k1 08152019.txt
8/15/2019 11:37,8/15/2019,11:37:13,644.9,1.91,0.351,hr k1 08152019.txt
8/15/2019 11:37,8/15/2019,11:37:37,661.7,1.86,0.338,hr k1 08152019.txt
8/15/2019 11:38,8/15/2019,11:38:01,673.8,1.94,0.372,hr k1 08152019.txt
8/15/2019 11:38,8/15/2019,11:38:26,687.3,1.74,0.361,hr k1 08152019.txt
8/15/2019 11:38,8/15/2019,11:38:50,698.8,1.82,0.349,hr k1 08152019.txt
8/15/2019 11:39,8/15/2019,11:39:14,713.2,1.95,0.385,hr k1 08152019.txt
8/15/2019 11:39,8/15/2019,11:39:39,725.9,1.85,0.36,hr k1 08152019.txt
8/15/2019 11:40,8/15/2019,11:40:03,749.1,1.88,0.369,hr k1 08152019.txt
8/15/2019 12:00,8/15/2019,12:00:43,774.6,1.73,0.384,hr k1.2 08152019.txt
8/15/2019 12:01,8/15/2019,12:01:07,755,1.91,0.366,hr k1.2 08152019.txt
8/15/2019 12:01,8/15/2019,12:01:31,736.9,1.87,0.344,hr k1.2 08152019.txt
8/15/2019 12:01,8/15/2019,12:01:56,754.1,1.99,0.325,hr k1.2 08152019.txt
8/15/2019 12:02,8/15/2019,12:02:20,776.3,1.91,0.328,hr k1.2 08152019.txt
8/15/2019 12:02,8/15/2019,12:02:44,808.7,1.87,0.348,hr k1.2 08152019.txt
8/15/2019 12:03,8/15/2019,12:03:09,830.7,1.94,0.313,hr k1.2 08152019.txt
8/15/2019 12:03,8/15/2019,12:03:33,858.6,1.94,0.313,hr k1.2 08152019.txt
8/15/2019 12:03,8/15/2019,12:03:57,890.4,1.96,0.369,hr k1.2 08152019.txt
8/15/2019 12:04,8/15/2019,12:04:22,910.9,1.87,0.31,hr k1.2 08152019.txt
8/15/2019 12:04,8/15/2019,12:04:46,938.3,1.91,0.326,hr k1.2 08152019.txt
8/15/2019 12:05,8/15/2019,12:05:10,967.9,1.96,0.333,hr k1.2 08152019.txt
8/15/2019 12:05,8/15/2019,12:05:34,991.3,1.99,0.385,hr k1.2 08152019.txt
8/15/2019 12:05,8/15/2019,12:05:59,1014.3,2.05,0.378,hr k1.2 08152019.txt
8/15/2019 12:06,8/15/2019,12:06:23,1034.1,1.92,0.4,hr k1.2 08152019.txt
8/15/2019 12:06,8/15/2019,12:06:48,1052.9,1.96,0.326,hr k1.2 08152019.txt
8/15/2019 12:07,8/15/2019,12:07:12,1073.9,2.02,0.384,hr k1.2 08152019.txt
8/15/2019 12:07,8/15/2019,12:07:36,1090.2,1.96,0.398,hr k1.2 08152019.txt
8/15/2019 12:08,8/15/2019,12:08:01,1108,1.91,0.381,hr k1.2 08152019.txt
8/15/2019 12:08,8/15/2019,12:08:25,1121.7,1.96,0.407,hr k1.2 08152019.txt
8/15/2019 12:08,8/15/2019,12:08:50,1140.8,1.92,0.39,hr k1.2 08152019.txt
8/15/2019 12:09,8/15/2019,12:09:14,1158.3,1.86,0.403,hr k1.2 08152019.txt
8/15/2019 12:09,8/15/2019,12:09:38,1169.6,1.96,0.374,hr k1.2 08152019.txt
8/15/2019 12:10,8/15/2019,12:10:03,1188.9,1.94,0.405,hr k1.2 08152019.txt
8/15/2019 12:10,8/15/2019,12:10:27,1204.4,1.98,0.384,hr k1.2 08152019.txt
8/15/2019 12:13,8/15/2019,12:13:55,1171.4,1.86,0.4,hr k2 08152019.txt
8/15/2019 12:14,8/15/2019,12:14:20,850.2,1.8,0.336,hr k2 08152019.txt
8/15/2019 12:14,8/15/2019,12:14:44,657.7,2.03,0.393,hr k2 08152019.txt
8/15/2019 12:15,8/15/2019,12:15:09,575.8,1.86,0.379,hr k2 08152019.txt
8/15/2019 12:15,8/15/2019,12:15:33,550,1.73,0.389,hr k2 08152019.txt
8/15/2019 12:15,8/15/2019,12:15:57,545.5,1.84,0.379,hr k2 08152019.txt
8/15/2019 12:16,8/15/2019,12:16:21,549.7,1.88,0.373,hr k2 08152019.txt
8/15/2019 12:16,8/15/2019,12:16:45,561.3,1.78,0.35,hr k2 08152019.txt
8/15/2019 12:17,8/15/2019,12:17:10,570,1.8,0.363,hr k2 08152019.txt
8/15/2019 12:17,8/15/2019,12:17:34,589.1,1.9,0.388,hr k2 08152019.txt
8/15/2019 12:17,8/15/2019,12:17:58,607.8,1.77,0.38,hr k2 08152019.txt
8/15/2019 12:18,8/15/2019,12:18:23,627.1,1.82,0.394,hr k2 08152019.txt
8/15/2019 12:18,8/15/2019,12:18:47,642.9,1.83,0.382,hr k2 08152019.txt
8/15/2019 12:19,8/15/2019,12:19:11,661.8,1.96,0.376,hr k2 08152019.txt
8/15/2019 12:19,8/15/2019,12:19:36,680.1,1.81,0.386,hr k2 08152019.txt
8/15/2019 12:27,8/15/2019,12:27:08,696.6,1.79,0.378,hr k2.2 08152019.txt
8/15/2019 12:27,8/15/2019,12:27:32,700.2,1.95,0.427,hr k2.2 08152019.txt
8/15/2019 12:27,8/15/2019,12:27:56,715.3,1.86,0.381,hr k2.2 08152019.txt
8/15/2019 12:28,8/15/2019,12:28:21,743.2,1.87,0.399,hr k2.2 08152019.txt
8/15/2019 12:28,8/15/2019,12:28:45,777.9,1.94,0.345,hr k2.2 08152019.txt
8/15/2019 12:29,8/15/2019,12:29:10,814.7,1.84,0.37,hr k2.2 08152019.txt
8/15/2019 12:29,8/15/2019,12:29:34,847.1,1.88,0.355,hr k2.2 08152019.txt
8/15/2019 12:29,8/15/2019,12:29:58,879.6,1.78,0.396,hr k2.2 08152019.txt
8/15/2019 12:30,8/15/2019,12:30:23,906.2,1.85,0.38,hr k2.2 08152019.txt
8/15/2019 12:30,8/15/2019,12:30:47,929.4,1.95,0.389,hr k2.2 08152019.txt
8/15/2019 12:31,8/15/2019,12:31:12,957.6,1.94,0.415,hr k2.2 08152019.txt
8/15/2019 12:31,8/15/2019,12:31:36,981.2,1.9,0.393,hr k2.2 08152019.txt
8/15/2019 12:32,8/15/2019,12:32:00,1007.4,1.83,0.394,hr k2.2 08152019.txt
8/15/2019 12:32,8/15/2019,12:32:25,1035.1,1.87,0.378,hr k2.2 08152019.txt
8/15/2019 12:32,8/15/2019,12:32:49,1061.6,1.93,0.381,hr k2.2 08152019.txt
8/15/2019 12:33,8/15/2019,12:33:14,1088.8,1.87,0.395,hr k2.2 08152019.txt
8/15/2019 12:33,8/15/2019,12:33:38,1113.6,1.97,0.377,hr k2.2 08152019.txt
8/15/2019 12:34,8/15/2019,12:34:03,1133.1,1.79,0.38,hr k2.2 08152019.txt
8/15/2019 12:34,8/15/2019,12:34:27,1155.2,1.85,0.366,hr k2.2 08152019.txt
8/15/2019 12:34,8/15/2019,12:34:52,1171.6,1.9,0.376,hr k2.2 08152019.txt
8/15/2019 12:35,8/15/2019,12:35:16,1196.8,1.86,0.385,hr k2.2 08152019.txt
8/15/2019 12:35,8/15/2019,12:35:41,1214.2,1.94,0.373,hr k2.2 08152019.txt
8/15/2019 12:36,8/15/2019,12:36:06,1239.1,1.92,0.411,hr k2.2 08152019.txt
8/15/2019 12:36,8/15/2019,12:36:30,1262.9,1.9,0.409,hr k2.2 08152019.txt
8/15/2019 12:36,8/15/2019,12:36:54,1285.3,1.97,0.388,hr k2.2 08152019.txt
8/15/2019 12:40,8/15/2019,12:40:21,1240.2,2.02,0.397,hr k3 08152019.txt
8/15/2019 12:40,8/15/2019,12:40:45,890.8,1.89,0.385,hr k3 08152019.txt
8/15/2019 12:41,8/15/2019,12:41:10,694.7,1.82,0.36,hr k3 08152019.txt
8/15/2019 12:41,8/15/2019,12:41:34,622.9,1.9,0.355,hr k3 08152019.txt
8/15/2019 12:41,8/15/2019,12:41:58,604.3,1.91,0.354,hr k3 08152019.txt
8/15/2019 12:42,8/15/2019,12:42:23,606.7,1.93,0.344,hr k3 08152019.txt
8/15/2019 12:42,8/15/2019,12:42:47,618.5,1.77,0.367,hr k3 08152019.txt
8/15/2019 12:43,8/15/2019,12:43:12,631.9,1.82,0.35,hr k3 08152019.txt
8/15/2019 12:43,8/15/2019,12:43:36,652.3,2.1,0.345,hr k3 08152019.txt
8/15/2019 12:44,8/15/2019,12:44:01,669,1.87,0.364,hr k3 08152019.txt
8/15/2019 12:44,8/15/2019,12:44:25,686.5,1.87,0.354,hr k3 08152019.txt
8/15/2019 12:44,8/15/2019,12:44:50,704,1.87,0.375,hr k3 08152019.txt
8/15/2019 12:45,8/15/2019,12:45:14,719.4,1.94,0.375,hr k3 08152019.txt
8/15/2019 12:45,8/15/2019,12:45:39,736.7,1.88,0.363,hr k3 08152019.txt
8/15/2019 12:51,8/15/2019,12:51:33,755.2,2.03,0.323,hr k3.2 08152019.txt
8/15/2019 12:51,8/15/2019,12:51:58,726.2,1.94,0.36,hr k3.2 08152019.txt
8/15/2019 12:52,8/15/2019,12:52:22,736.8,1.99,0.356,hr k3.2 08152019.txt
8/15/2019 12:52,8/15/2019,12:52:47,776,2.16,0.285,hr k3.2 08152019.txt
8/15/2019 12:53,8/15/2019,12:53:11,813.7,1.96,0.306,hr k3.2 08152019.txt
8/15/2019 12:53,8/15/2019,12:53:36,859,2.02,0.354,hr k3.2 08152019.txt
8/15/2019 12:54,8/15/2019,12:54:00,895,1.97,0.359,hr k3.2 08152019.txt
8/15/2019 12:54,8/15/2019,12:54:24,924.5,1.92,0.362,hr k3.2 08152019.txt
8/15/2019 12:54,8/15/2019,12:54:49,956.5,1.89,0.352,hr k3.2 08152019.txt
8/15/2019 12:55,8/15/2019,12:55:14,984,1.95,0.356,hr k3.2 08152019.txt
8/15/2019 12:55,8/15/2019,12:55:38,1014.4,2.05,0.355,hr k3.2 08152019.txt
8/15/2019 12:56,8/15/2019,12:56:03,1037.5,2.04,0.367,hr k3.2 08152019.txt
8/15/2019 12:56,8/15/2019,12:56:27,1063.8,1.94,0.366,hr k3.2 08152019.txt
8/15/2019 12:56,8/15/2019,12:56:52,1075.8,1.95,0.364,hr k3.2 08152019.txt
8/15/2019 12:57,8/15/2019,12:57:17,1103.9,1.89,0.355,hr k3.2 08152019.txt
8/15/2019 12:57,8/15/2019,12:57:41,1128,2.01,0.37,hr k3.2 08152019.txt
8/15/2019 12:58,8/15/2019,12:58:06,1150.4,2.09,0.368,hr k3.2 08152019.txt
8/15/2019 12:58,8/15/2019,12:58:30,1170.9,2,0.359,hr k3.2 08152019.txt
8/15/2019 12:58,8/15/2019,12:58:55,1190.9,2.11,0.367,hr k3.2 08152019.txt
8/15/2019 12:59,8/15/2019,12:59:19,1217.7,2,0.359,hr k3.2 08152019.txt
